COMPANY_FKEY,bank_event
0000894417,2002-12-19
0000894490,2009-05-22
0000894503,2001-03-07
0000894535,2001-08-10
0000894544,2007-10-30
0000894789,2001-08-08
0000895021,2001-08-21
0000895126,2020-06-28
0000895642,2012-01-26
0000895648,2009-04-16
0000895651,2004-06-24
0000895659,2000-03-20
0000895716,2004-03-26
0000896145,2001-07-18
0000896265,2000-11-14
0000896842,2013-06-17
0000896985,2019-10-21
0000897729,2004-11-21
0000897743,1997-01-27
0000897745,2003-09-16
0000897861,2011-04-27
0000898441,2003-05-28
0000898660,2009-07-28
0000898684,2009-08-05
0000898802,2001-02-15
0000898904,2004-10-26
0000899164,2004-06-10
0000899166,2010-04-14
0000899647,2010-07-12
0000899823,2000-12-18
0000900017,2012-03-26
0000900619,2004-03-01
0000901696,2007-10-15
0000902053,2003-07-29
0000902056,2002-05-22
0000902270,2008-11-23
0000902274,2020-06-01
0000902281,2009-07-09
0000902787,2000-11-27
0000904020,2005-11-07
0000904080,2016-12-14
0000904344,2000-04-20
0000904535,2001-06-19
0000904851,2016-06-17
0000904898,2001-05-01
0000904977,2002-11-14
0000904979,2020-08-30
0000905035,2001-10-11
0000905722,2002-02-04
0000905895,2007-10-16
0000906196,2008-09-15
0000906307,2002-09-04
0000906337,2008-07-23
0000906347,2002-05-08
0000906469,2001-05-14
0000906525,2002-06-03
0000906605,2002-04-23
0000907093,2001-03-16
0000907127,2009-04-21
0000908754,2008-08-04
0000908797,2002-02-06
0000909326,2009-04-20
0000909950,2005-07-31
0000909963,2001-04-04
0000909987,1999-10-28
0000910057,2009-05-13
0000910133,2002-12-17
0000910394,2003-02-05
0000910468,2000-06-15
0000910612,2020-11-01
0000910619,2009-03-05
0000910620,2004-01-20
0000910639,2005-08-26
0000910655,1989-08-04
0000910719,2001-12-07
0000911002,2013-01-27
0000911004,2005-01-14
0000911012,2002-09-13
0000911115,2003-08-04
0000911149,2009-08-18
0000911151,2010-08-05
0000911221,2001-11-26
0000911522,2000-05-17
0000911566,2001-08-02
0000911576,2006-07-18
0000911626,2005-01-11
0000911631,2013-06-03
0000911801,2007-01-19
0000912083,2001-08-29
0000912241,2009-03-16
0000912295,2000-10-11
0000912365,2012-01-23
0000912908,2005-09-19
0000912952,2000-01-19
0000913015,2010-03-01
0000913034,2000-12-19
0000913159,2002-02-12
0000913285,2007-03-23
0000913364,2001-11-20
0000913665,2002-01-10
0000913666,2004-03-04
0000914384,2004-03-31
0000914435,2003-07-01
0000914480,2001-12-18
0000915140,2020-11-01
0000915354,2005-10-14
0000915390,2001-12-06
0000915859,2002-07-26
0000916104,2003-03-28
0000916105,1997-10-03
0000916106,2004-04-05
0000916107,1997-10-03
